33 0 0
6 42 0
24 24 1
36 2 0
3 21 0
3 24 0
28 38 1
49 30 0
41 21 1
29 19 1
42 9 0
13 34 1
21 10 1
43 25 1
48 17 0
13 35 1
3 34 0
46 33 0
29 27 1
20 37 1
36 5 0
24 47 0
33 20 1
25 15 1
26 3 0
32 37 1
35 39 1
35 19 1
19 13 1
6 49 0
38 9 0
15 27 1
46 9 0
31 27 1
8 16 1
7 30 1
31 6 1
45 4 0
40 16 1
46 15 0
22 30 1
1 3 0
27 31 1
25 48 0
29 18 1
34 3 0
39 19 1
48 39 0
30 47 0
42 20 1
21 40 1
24 33 1
18 11 1
41 1 0
4 24 0
41 10 0
44 32 0
30 24 1
48 46 0
5 27 0
43 34 0
16 6 0
18 9 1
5 5 0
2 1 0
8 45 0
8 23 1
6 48 0
23 6 1
42 31 1
18 7 1
14 33 1
8 1 0
38 44 0
34 39 1
40 26 1
39 19 1
23 7 1
5 42 0
33 45 0
42 2 0
4 8 0
44 3 0
14 34 1
22 0 0
19 41 1
22 4 0
45 42 0
25 23 1
4 45 0
30 12 1
0 4 0
27 40 1
29 49 0
49 35 0
24 29 1
30 22 1
12 49 0
49 12 0
45 3 0
27 37 1
4 47 0
37 15 1
48 40 0
27 11 1
45 10 0
34 10 1
14 9 1
13 28 1
14 40 1
47 20 0
39 34 1
13 0 0
3 27 0
44 41 0
40 49 0
42 16 1
46 35 0
1 23 0
49 23 0
25 43 1
20 41 1
9 21 1
19 3 0
7 37 0
21 26 1
27 26 1
1 22 0
1 49 0
40 23 1
19 28 1
48 41 0
26 18 1
40 29 1
18 46 0
49 37 0
45 35 0
13 46 0
16 2 0
38 41 0
47 6 0
46 4 0
0 22 0
19 23 1
38 45 0
24 5 0
9 39 0
23 47 0
17 33 1
19 19 1
40 25 1
21 49 0
31 5 0
11 2 0
15 46 0
6 8 0
4 30 0
10 48 0
43 42 0
14 24 1
48 27 0
34 39 1
30 18 1
10 43 0
2 32 0
8 17 1
35 37 1
46 29 0
41 12 0
46 36 0
0 29 0
49 32 0
0 35 0
40 26 1
33 13 1
43 29 1
40 25 1
19 18 1
19 6 1
30 36 1
36 46 0
7 7 0
19 42 1
28 32 1
16 11 1
23 34 1
28 2 0
12 5 0
21 24 1
5 29 0
27 42 1
7 27 1
4 18 0
6 32 0
40 35 1
40 7 0
21 33 1
19 39 1
42 25 1
30 20 1
12 17 1
4 12 0
4 31 0
1 9 0
35 28 1
48 39 0
15 43 0
47 31 0
30 41 1
24 45 0
8 49 0
27 22 1
41 13 0
24 19 1
21 0 0
19 19 1
16 8 1
22 28 1
6 43 0
47 12 0
10 41 0
36 18 1
4 49 0
44 40 0
23 32 1
16 5 0
21 6 1
15 15 1
31 19 1
12 37 1
32 46 0
6 12 0
19 38 1
24 6 1
3 23 0
36 48 0
28 15 1
10 33 1
14 47 0
20 18 1
17 48 0
42 47 0
26 7 1
1 10 0
22 44 1
40 20 1
6 32 0
24 3 0
23 28 1
41 6 0
49 22 0
45 29 0
7 19 1
18 23 1
17 39 1
20 3 0
36 31 1
41 42 0
33 15 1
43 12 0
48 27 0
47 17 0
40 24 1
33 46 0
12 37 1
14 14 1
32 12 1
9 27 1
26 28 1
15 46 0
15 5 0
47 35 0
28 32 1
8 34 1
22 19 1
20 5 0
4 49 0
39 28 1
26 49 0
30 30 1
38 5 0
27 10 1
2 37 0
36 26 1
33 31 1
11 44 0
44 4 0
44 9 0
45 12 0
26 15 1
17 41 1
2 15 0
4 22 0
32 41 1
8 28 1
19 37 1
35 17 1
49 20 0
11 45 0
6 6 0
22 45 0
48 33 0
20 21 1
48 34 0
4 45 0
24 1 0
12 9 0
0 47 0
8 2 0
19 45 0
10 29 1
15 13 1
20 4 0
27 14 1
9 28 1
14 22 1
23 32 1
31 45 0
11 3 0
14 29 1
18 18 1
16 9 1
32 16 1
1 37 0
30 8 1
28 16 1
8 13 0
38 43 0
20 38 1
32 39 1
44 28 1
20 9 1
44 48 0
47 49 0
15 27 1
27 30 1
3 42 0
26 43 1
14 49 0
28 24 1
44 33 0
30 36 1
41 3 0
31 47 0
19 40 1
41 6 0
17 12 1
29 49 0
29 44 1
22 18 1
46 27 0
41 40 0
22 27 1
19 27 1
18 39 1
16 40 1
42 33 1
23 2 0
47 33 0
13 48 0
30 23 1
5 35 0
20 9 1
4 16 0
4 49 0
2 30 0
35 37 1
5 5 0
3 42 0
17 4 0
45 28 0
5 45 0
16 31 1
25 20 1
48 34 0
44 26 1
45 13 0
17 12 1
36 42 0
12 27 1
23 5 0
46 47 0
26 34 1
4 17 0
42 2 0
49 3 0
17 40 1
8 24 1
40 2 0
11 8 0
14 26 1
20 43 1
10 31 1
8 42 0
42 45 0
46 34 0
13 13 1
34 0 0
15 39 1
17 43 1
13 49 0
32 44 0
36 39 1
13 29 1
35 6 0
2 29 0
13 48 0
2 14 0
35 22 1
19 35 1
32 34 1
25 43 1
8 38 0
35 11 1
10 16 1
13 17 1
44 20 1
47 9 0
38 1 0
2 1 0
5 30 0
36 43 0
47 29 0
34 11 1
26 16 1
30 7 1
48 0 0
4 9 0
13 36 1
28 14 1
39 12 1
1 27 0
41 48 0
41 8 0
39 34 1
40 34 1
22 3 0
29 15 1
16 27 1
5 5 0
26 15 1
46 4 0
31 10 1
32 12 1
1 30 0
16 20 1
43 32 1
48 15 0
46 43 0
25 30 1
21 3 0
8 4 0
36 35 1
20 15 1
4 29 0
44 24 1
39 38 1
28 45 0
6 15 0
49 32 0
20 49 0
8 41 0
11 10 0
43 40 0
48 9 0
13 40 1
19 39 1
20 30 1
1 13 0
41 29 1
39 15 1
2 28 0
40 10 0
29 3 0
13 5 0
32 20 1
40 21 1
37 41 0
33 40 1
19 35 1
33 31 1
44 19 1
27 13 1
2 30 0
31 20 1
41 34 1
6 30 1
24 2 0
14 20 1
26 38 1
23 34 1
20 48 0
10 32 1
10 21 1
48 13 0
14 32 1
41 36 1
16 18 1
8 25 1
37 26 1
12 30 1
19 22 1
31 27 1
27 12 1
15 3 0
34 44 0
24 4 0
38 19 1
11 49 0
27 18 1
26 14 1
7 35 0
22 14 1
14 11 1
27 8 1
12 25 1
41 15 1
40 41 0
9 38 0
0 32 0
47 21 0
28 35 1
2 4 0
5 15 0
9 31 1
41 24 1
3 40 0
17 34 1
30 32 1
2 38 0
8 34 1
9 41 0
30 28 1
47 8 0
37 42 0
26 3 0
24 12 1
8 30 1
27 41 1
30 28 1
17 37 1
14 15 1
31 32 1
21 22 1
47 3 0
47 25 0
31 40 1
47 38 0
44 10 0
7 13 0
22 40 1
29 19 1
0 45 0
45 34 0
31 32 1
